trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-124.3127926815713,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-86.43927723181024,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-183.8426081752676,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-126.74996116551807,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-115.21627389330779,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-240.99050848345962,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-150.35127820910475,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-130.36902624995284,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-103.66275644209713,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,2,-34.990681829798376,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-68.24891566061393,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-135.2244145141572,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-117.13543346655527,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",30,0,-189.39988444258222,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,7,-18.45609418485145,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,0,-190.79457771015797,"{0: 18, 1: 3, 2: 3, 3: 4, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-65.344747003401,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-76.48635995819315,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-103.77150173951702,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-21.037607706995864,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",30,9,-39.17179961041517,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,0,-125.02824554995637,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,3,-77.74654248212838,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-74.10419935276583,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-85.92109358823093,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-24.688357268404413,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",30,0,-185.90098085445211,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,10,6.444440075340875,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-105.10624488922934,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,14,-3.5884076519335304,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,1,-30.34949206759646,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-142.6733936844349,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,-130.62819621616956,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",30,0,-87.56143248059425,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",30,2,-144.9567950831907,"{0: 13, 1: 7, 2: 5, 3: 2, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.697676326071031}",25,1,-5.670395328064371,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",30,0,-59.90763533058521,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",25,0,-25.512452277330542,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,10,7.650052409629113,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-107.65306480878203,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,0,-90.07860547718576,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-80.27130399247615,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-38.9193429042348,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,5,-46.90897736077106,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,7,-61.57983622275585,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",25,0,-27.114190198380346,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,0,-91.06340399942809,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,0,-98.03874104920463,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-133.82306998673704,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-141.05061578327994,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",35,0,-137.70305168362745,"{0: 26, 1: 3, 2: 2, 3: 1, 4: 3}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,12,-1.847358788067966,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",30,0,-91.32335833007471,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",30,7,-15.925987952486087,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-35.87949538500862,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",20,4,-90.70812277375187,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",30,0,-40.495973511437164,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,0,-10.084024614762793,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,14,-44.29231820454566,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,1,-36.72264861647646,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,0,-47.934155138443614,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,2,-68.61621916818734,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,11,13.419125329269855,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,4,-91.29067587017495,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 2}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",25,5,13.952989833294337,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",20,6,-10.384428794864533,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",30,17,-3.354301925702168,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,6,-24.836821983359123,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",35,14,-71.89382391073921,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,1,-28.998686792493537,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,0,-25.132213066128656,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,6,-41.80678426756486,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,0,-8.112984983673451,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,0,0.8225178469295811,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,0,-4.64775607454024,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,8,20.8519442832254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,5,-89.68574531153727,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",30,3,-52.902461431388225,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",35,15,-36.29110298938583,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,4,-91.26402425542928,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,-78.8735890044781,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,0,-188.5609994644456,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,15,5.78977958002507,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",25,3,-25.952379982691006,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,0,-29.91683415658389,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,12,-8.261678980104206,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.418951549247639}",30,16,6.9063438088448095,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,0,-26.675222869062928,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,16,12.68714534816013,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",35,16,8.5452421997816,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",25,7,-61.45638963626284,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,12,17.566174993091053,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,16,-21.536010827213776,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,0,-60.746908599378244,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",30,16,-83.57206319925537,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,0,-82.65765907238453,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,0,-94.75239134243495,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,0,-41.07969804636251,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,2,-7.006312748756198,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,0,-28.44436524465256,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",25,5,-35.55564739507418,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,0,-36.902683751663524,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,1,-17.926873671637143,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,0,-3.8739194747427583,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",35,22,15.193218603879751,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",25,0,9.344454529159286,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",30,12,-0.10426456218155211,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",30,13,-40.69344155289159,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",25,11,24.43646847144582,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,14,10.226942731426053,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",30,20,9.424597813320004,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",30,0,-7.271582371125474,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",35,15,-4.819493109288832,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",20,1,-12.83031473087819,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",20,0,-41.926654328822345,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",25,10,-35.19341609989831,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",25,2,-10.228825543345174,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,11,-3.159974176377223,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",25,13,7.923625546075872,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",25,16,16.16296169383518,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,8,-33.2233827749535,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",20,0,13.034167596746514,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",25,5,7.782346610129922,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,15,-28.04178641132009,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,0,24.334649580911154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,10,18.57598104191186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,19,-0.18599269204301372,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",20,5,7.278071174895949,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,13,12.970780793702406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",20,13,12.576647422399889,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",25,9,-23.948066564877642,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,8,20.165877470717675,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,3,29.052666546482115,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.261845668580326}",20,0,-18.45501414133059,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",20,16,8.665800564002385,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",30,8,4.558268990647188,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
