trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.70390374979985,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.438083833697,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.78031672633975,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.22636150577544,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.01818886434742,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,6,-79.18856630367362,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.7868393125734,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.29712227439452,"{0: 14, 1: 7, 2: 4, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.622008864183,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-211.720054692828,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.37478049204002,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.2026718123417,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.89011913670043,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.5820702091719,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.8918413900392,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.38674135686439,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-234.30867862439857,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.9821160301447,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.1925403902181,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.34955921976953,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.2196368418972,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.66813232677026,"{0: 12, 1: 2, 2: 11, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.37225644388286,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.780105513459475,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.3573033134253,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,8,-64.08890764429667,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.26649277109854,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-124.88513136676262,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-120.54251174469304,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.93431333538092,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
